Species	Status	min_age	max_age
Rhinolophus	extant	0.0117	2.588
Rhinolophus_ferrumequinum	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Rhinolophus	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Eppsinycteris_anglica	extinct	47.8	56
Chiroptera	extant	5.333	23.03
Rhinolophus_ferrumequinum	extant	0.126	0.781
Miniopterus	extant	0.126	0.781
Vespertilionidae	extant	0.126	0.781
Rhinolophus_euryale	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Miniopterus	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Myotis	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Myotis	extant	0.781	2.588
Vespertilio	extant	2.588	5.333
Rhinolophus	extant	2.588	3.2
Rhinolophus	extant	2.588	3.2
Shanwangia	extinct	11.608	15.97
Myotis	extant	15.97	20.44
Vespertilionidae	extant	15.97	20.44
Rhinolophus_ferrumequinum	extant	0.0117	0.126
Miniopterus	extant	0.0117	0.126
Myotis_myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Vespertilio_murinus	extant	0.0117	0.126
Myotis_myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Myotis_myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Myotis	extant	0.0117	0.126
Vespertilio	extant	0.781	2.588
Rhinolophus	extant	33.9	38
Vespertiliavus	extinct	33.9	38
Vespertiliavus	extinct	28.4	33.9
Palaeophyllophora	extinct	28.4	33.9
Pseudorhinolophus	extinct	28.4	33.9
Pteropidae	extinct	5.333	8.7
Hipposideridae	extinct	5.333	8.7
Myotis	extant	5.333	8.7
Eptesicus	extant	5.333	8.7
Pipistrellus	extant	5.333	8.7
Hipposideridae	extinct	5.333	8.7
Myotis	extant	5.333	8.7
Eptesicus	extant	5.333	8.7
Pipistrellus	extant	5.333	8.7
Plecotus	extant	5.333	8.7
Pipistrellus	extant	5.333	8.7
Plecotus	extant	5.333	8.7
Vespertiliavus_gracilis	extinct	38	41.3
Vespertiliavus	extinct	38	41.3
Vespertiliavus	extinct	38	41.3
Vespertiliavus	extinct	38	41.3
Palaeophyllophora_quercyi	extinct	38	41.3
Hipposideros_schlosseri	extinct	38	41.3
Hipposideros	extant	38	41.3
Rhinolophoidea	extinct	38	41.3
Hipposideros_schlosseri	extinct	38	41.3
Cecilionycteris_prisca	extinct	41.3	47.8
Matthesia	extinct	41.3	47.8
Matthesia	extinct	41.3	47.8
Chiroptera	extant	12.75	13.65
