"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"196290","occ","","","20178","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Irvingtonian","","1.8","0.3","2893"
"196702","occ","","","20280","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","1817"
"196719","occ","","","20282","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2254"
"196796","occ","","","20289","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Irvingtonian","","1.8","0.3","2436"
"196797","occ","","","20289","Myotis cf. austroriparius","species","48908","","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2436"
"196798","occ","","","20289","Plecotus rafinesquii","species","50426","","Plecotus rafinesquii","species","52647","Irvingtonian","","1.8","0.3","2436"
"196840","occ","9343","","20290","Eptesicus fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6294"
"196841","occ","","","20290","Myotis leibi","species","48913","","Myotis leibi","species","52643","Irvingtonian","","1.8","0.3","6221"
"196917","occ","","","20295","Lasiurus cinereus","species","47491","","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1907"
"196918","occ","","","20295","Dasypterus n. sp. golliheri","species","45558","recombined as","Lasiurus golliheri","species","45558","Irvingtonian","","1.8","0.3","1907"
"197031","occ","9391","","20302","Eptesicus cf. fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6294"
"197032","occ","9392","","20302","Plecotus alleganiensis","species","50425","","Plecotus alleganiensis","species","45286","Irvingtonian","","1.8","0.3","1628"
"197542","occ","","","20350","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197543","occ","","","20350","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197569","occ","","","20351","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Irvingtonian","","1.8","0.3","2615"
"197570","occ","","","20351","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Irvingtonian","","1.8","0.3","2611"
"197607","occ","","","20354","Myotis sp.","genus","40678","","Myotis","genus","40678","Irvingtonian","","1.8","0.3","1727"
"197767","occ","9556","","20384","Desmodus archaeodaptes","species","270547","","Desmodus archaeodaptes","species","270547","Blancan","","4.9","1.8","2611"
"197768","occ","","","20384","Antrozous sp.","genus","40665","","Antrozous","genus","40665","Blancan","","4.9","1.8","2611"
"197769","occ","","","20384","Eptesicus sp.","genus","40671","","Eptesicus","genus","40671","Blancan","","4.9","1.8","2611"
"197770","occ","","","20384","Lasiurus sp.","genus","40675","","Lasiurus","genus","40675","Blancan","","4.9","1.8","2611"
"197771","occ","","","20384","Myotis sp.","genus","40678","","Myotis","genus","40678","Blancan","","4.9","1.8","3580"
"197772","occ","","","20384","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Blancan","","4.9","1.8","3580"
"197773","occ","","","20384","Plecotus sp.","genus","40684","","Plecotus","genus","40684","Blancan","","4.9","1.8","2611"
"197820","occ","10468","","20385","Myotis sp.","genus","40678","","Myotis","genus","40678","Irvingtonian","","1.8","0.3","9761"
"197821","occ","","","20385","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Irvingtonian","","1.8","0.3","3872"
"198174","occ","","","20423","Lasiurus cinereus","species","47491","","Lasiurus cinereus","species","52638","Irvingtonian","","1.8","0.3","1887"
"198305","occ","","","20444","Myotis velifer","species","48919","","Myotis velifer","species","52649","Irvingtonian","","1.8","0.3","1298"
"198314","occ","","","20445","Myotis thysanodes","species","48918","","Myotis thysanodes","species","48918","Irvingtonian","","1.8","0.3","1298"
"198353","occ","","","20454","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2725"
"198452","occ","","","20477","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","1022"
"198580","occ","","","20491","Desmodus stocki","species","45613","","Desmodus stocki","species","45613","Rancholabrean","","0.3","0.012","3580"
"198581","occ","","","20491","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Rancholabrean","","0.3","0.012","3580"
"198582","occ","","","20491","Lasiurus borealis","species","47490","","Lasiurus borealis","species","52636","Rancholabrean","","0.3","0.012","3580"
"198583","occ","","","20491","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Rancholabrean","","0.3","0.012","3580"
"198584","occ","","","20491","Tadarida brasiliensis","species","51982","","Tadarida brasiliensis","species","49249","Rancholabrean","","0.3","0.012","3580"
"198659","occ","","","20495","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Rancholabrean","","0.3","0.012","19165"
"198770","occ","","","20506","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2940"
"198817","occ","","","20514","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2940"
"198939","occ","","","20530","Lasiurus sp.","genus","40675","","Lasiurus","genus","40675","Irvingtonian","","1.8","0.3","1304"
"199032","occ","","","20554","Pipistrellus subflavus","species","50360","","Pipistrellus subflavus","species","52648","Irvingtonian","","1.8","0.3","6221"
"199033","occ","","","20554","Eptesicus fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6221"
"199034","occ","","","20554","Plecotus sp.","genus","40684","","Plecotus","genus","40684","Irvingtonian","","1.8","0.3","6221"
"199260","occ","","","20572","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199283","occ","","","20573","Desmodus stocki","species","45613","","Desmodus stocki","species","45613","Late Pleistocene","","0.126","0.0117","3580"
"199284","occ","","","20573","Myotis austroriparius","species","48908","","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3580"
"199285","occ","","","20573","Lasiurus intermedius","species","47494","","Lasiurus intermedius","species","47494","Late Pleistocene","","0.126","0.0117","3580"
